date,Renewables - GWh,Fossil Fuels - GWh
1998-12-01,0.0,605.0600000000001
1999-01-01,0.0,817.02
1999-02-01,0.0,801.4000000000001
1999-03-01,0.0,736.58
1999-04-01,0.0,635.17
1999-05-01,0.0,740.3000000000001
1999-06-01,0.0,814.7499999999999
1999-07-01,0.0,782.57
1999-08-01,0.0,769.9
1999-09-01,0.0,664.14
1999-10-01,0.0,692.6200000000001
1999-11-01,0.0,710.9399999999999
1999-12-01,0.0,763.63
2000-01-01,0.0,857.0
2000-02-01,0.0,991.46
2000-03-01,0.0,840.8900000000001
2000-04-01,0.0,706.24
2000-05-01,0.0,808.6899999999999
2000-06-01,0.0,872.7199999999999
2000-07-01,0.0,950.5799999999999
2000-08-01,0.0,951.8499999999999
2000-09-01,0.0,779.6600000000001
2000-10-01,0.0,747.04
2000-11-01,0.0,807.1099999999999
2000-12-01,0.0,796.2600000000001
2001-01-01,0.0,1049.6299999999999
2001-02-01,0.0,968.13
2001-03-01,0.0,919.44
2001-04-01,0.0,810.7499999999999
2001-05-01,0.0,900.14
2001-06-01,0.0,945.99
2001-07-01,0.0,993.7
2001-08-01,0.0,1066.01
2001-09-01,0.0,900.69
2001-10-01,0.0,997.74
2001-11-01,0.0,802.4599999999999
2001-12-01,0.0,922.79
2002-01-01,0.0,953.73
2002-02-01,0.0,848.17
2002-03-01,0.0,938.22
2002-04-01,0.0,932.13
2002-05-01,0.0,933.64
2002-06-01,0.0,991.5400000000001
2002-07-01,0.0,1026.94
2002-08-01,0.0,1017.9399999999999
2002-09-01,0.0,971.24
2002-10-01,0.0,976.6100000000001
2002-11-01,0.0,943.0300000000001
2002-12-01,0.0,968.91
2003-01-01,0.0,990.5600000000001
2003-02-01,0.0,812.6800000000001
2003-03-01,0.0,790.3900000000001
2003-04-01,0.0,634.3100000000001
2003-05-01,0.0,744.2099999999999
2003-06-01,0.0,900.8499999999999
2003-07-01,0.0,946.4399999999999
2003-08-01,0.0,916.1800000000001
2003-09-01,0.0,813.99
2003-10-01,0.0,790.02
2003-11-01,0.0,805.5500000000001
2003-12-01,0.0,894.46
2004-01-01,0.0,761.1899999999999
2004-02-01,0.0,863.4499999999999
2004-03-01,0.0,781.3000000000001
2004-04-01,0.0,868.5500000000001
2004-05-01,0.0,964.89
2004-06-01,0.0,940.5199999999999
2004-07-01,0.0,925.76
2004-08-01,0.0,862.7099999999999
2004-09-01,0.0,895.12
2004-10-01,0.0,961.6300000000001
2004-11-01,0.0,864.31
2004-12-01,0.0,823.74
2005-01-01,0.0,848.14
2005-02-01,0.0,757.4399999999999
2005-03-01,0.0,835.13
2005-04-01,0.0,952.4599999999999
2005-05-01,0.0,901.1999999999999
2005-06-01,0.0,847.66
2005-07-01,0.0,953.9599999999999
2005-08-01,0.0,936.02
2005-09-01,0.0,890.41
2005-10-01,0.0,844.5999999999999
2005-11-01,0.0,813.66
2005-12-01,0.0,801.16
