date,VRE - GWh,Total Generation - GWh,VRE Share (%)
1998-12-01,0.0,605.0600000000001,0.0
1999-01-01,0.0,817.02,0.0
1999-02-01,0.0,801.4000000000001,0.0
1999-03-01,0.0,736.58,0.0
1999-04-01,0.0,635.17,0.0
1999-05-01,0.0,740.3000000000001,0.0
1999-06-01,0.0,814.7499999999999,0.0
1999-07-01,0.0,782.57,0.0
1999-08-01,0.0,769.9,0.0
1999-09-01,0.0,664.14,0.0
1999-10-01,0.0,692.6200000000001,0.0
1999-11-01,0.0,710.9399999999999,0.0
1999-12-01,0.0,763.63,0.0
2000-01-01,0.0,857.0,0.0
2000-02-01,0.0,991.46,0.0
2000-03-01,0.0,840.8900000000001,0.0
2000-04-01,0.0,706.24,0.0
2000-05-01,0.0,808.6899999999999,0.0
2000-06-01,0.0,872.7199999999999,0.0
2000-07-01,0.0,950.5799999999999,0.0
2000-08-01,0.0,951.8499999999999,0.0
2000-09-01,0.0,779.6600000000001,0.0
2000-10-01,0.0,747.04,0.0
2000-11-01,0.0,807.1099999999999,0.0
2000-12-01,0.0,796.2600000000001,0.0
2001-01-01,0.0,1049.6299999999999,0.0
2001-02-01,0.0,968.13,0.0
2001-03-01,0.0,919.44,0.0
2001-04-01,0.0,810.7499999999999,0.0
2001-05-01,0.0,900.14,0.0
2001-06-01,0.0,945.99,0.0
2001-07-01,0.0,993.7,0.0
2001-08-01,0.0,1066.01,0.0
2001-09-01,0.0,900.69,0.0
2001-10-01,0.0,997.74,0.0
2001-11-01,0.0,802.4599999999999,0.0
2001-12-01,0.0,922.79,0.0
2002-01-01,0.0,953.73,0.0
2002-02-01,0.0,848.17,0.0
2002-03-01,0.0,938.22,0.0
2002-04-01,0.0,932.13,0.0
2002-05-01,0.0,933.64,0.0
2002-06-01,0.0,991.5400000000001,0.0
2002-07-01,0.0,1026.94,0.0
2002-08-01,0.0,1017.9399999999999,0.0
2002-09-01,0.0,971.24,0.0
2002-10-01,0.0,976.6100000000001,0.0
2002-11-01,0.0,943.0300000000001,0.0
2002-12-01,0.0,968.91,0.0
2003-01-01,0.0,990.5600000000001,0.0
2003-02-01,0.0,812.6800000000001,0.0
2003-03-01,0.0,790.3900000000001,0.0
2003-04-01,0.0,634.3100000000001,0.0
2003-05-01,0.0,744.2099999999999,0.0
2003-06-01,0.0,900.8499999999999,0.0
2003-07-01,0.0,946.4399999999999,0.0
2003-08-01,0.0,916.1800000000001,0.0
2003-09-01,0.0,813.99,0.0
2003-10-01,0.0,790.02,0.0
2003-11-01,0.0,805.5500000000001,0.0
2003-12-01,0.0,894.46,0.0
2004-01-01,0.0,761.1899999999999,0.0
2004-02-01,0.0,863.4499999999999,0.0
2004-03-01,0.0,781.3000000000001,0.0
2004-04-01,0.0,868.5500000000001,0.0
2004-05-01,0.0,964.89,0.0
2004-06-01,0.0,940.5199999999999,0.0
2004-07-01,0.0,925.76,0.0
2004-08-01,0.0,862.7099999999999,0.0
2004-09-01,0.0,895.12,0.0
2004-10-01,0.0,961.6300000000001,0.0
2004-11-01,0.0,864.31,0.0
2004-12-01,0.0,823.74,0.0
2005-01-01,0.0,848.14,0.0
2005-02-01,0.0,757.4399999999999,0.0
2005-03-01,0.0,835.13,0.0
2005-04-01,0.0,952.4599999999999,0.0
2005-05-01,0.0,901.1999999999999,0.0
2005-06-01,0.0,847.66,0.0
2005-07-01,0.0,953.9599999999999,0.0
2005-08-01,0.0,936.02,0.0
2005-09-01,0.0,890.41,0.0
2005-10-01,0.0,844.5999999999999,0.0
2005-11-01,0.0,813.66,0.0
2005-12-01,0.0,801.16,0.0
2006-01-01,0.0,937.09,0.0
2006-02-01,0.0,782.75,0.0
2006-03-01,0.0,886.77,0.0
2006-04-01,0.0,677.98,0.0
2006-05-01,0.0,848.66,0.0
2006-06-01,0.0,1001.56,0.0
2006-07-01,0.0,999.6499999999999,0.0
2006-08-01,0.0,975.1599999999999,0.0
2006-09-01,0.0,978.27,0.0
2006-10-01,0.0,979.9999999999999,0.0
2006-11-01,0.0,961.8899999999999,0.0
2006-12-01,0.0,909.5400000000001,0.0
2007-01-01,0.0,1084.5900000000001,0.0
2007-02-01,0.0,1065.53,0.0
2007-03-01,0.0,1182.26,0.0
2007-04-01,0.0,988.3,0.0
2007-05-01,0.01,1099.55,0.0009094629621208677
2007-06-01,2.97,1255.12,0.2366307604053796
2007-07-01,9.23,1180.8700000000001,0.78162710543921
2007-08-01,8.0,1094.8600000000001,0.7306870284785268
2007-09-01,13.29,1079.53,1.231091308254518
2007-10-01,14.66,1037.25,1.4133526150879732
2007-11-01,9.9,1116.26,0.8868901510400804
2007-12-01,15.99,1160.63,1.3777000422184502
2008-01-01,31.08,1135.03,2.738253614441909
2008-02-01,41.09,1020.39,4.026891678671881
2008-03-01,40.61,1182.2399999999998,3.435004736770876
2008-04-01,38.39,910.75,4.215207246774636
2008-05-01,40.45,1192.96,3.3907255901287554
2008-06-01,69.11,1198.7199999999998,5.765316337426589
2008-07-01,93.22,1193.0900000000001,7.813325063490599
2008-08-01,83.27,1269.91,6.557157593845233
2008-09-01,93.9,1135.99,8.265917833783748
2008-10-01,79.53,1134.73,7.008715729733065
2008-11-01,80.19,1064.64,7.532123534715959
2008-12-01,85.06,939.28,9.05587258325526
2009-01-01,84.54,1191.6499999999999,7.0943649561532345
2009-02-01,82.65,1064.75,7.7623855365109184
2009-03-01,79.17,1005.84,7.871033166308757
2009-04-01,74.95,1045.9799999999998,7.165528977609516
2009-05-01,68.91,1107.45,6.222402817282947
2009-06-01,102.69,1127.81,9.105257091176705
2009-07-01,251.01,1256.88,19.970880274966582
2009-08-01,279.65,1194.29,23.415585829237454
2009-09-01,244.39,1051.85,23.234301468840616
2009-10-01,212.55,1070.1299999999999,19.862072832272716
2009-11-01,191.95,1223.1100000000001,15.693600739099505
2009-12-01,187.17,1173.8899999999999,15.944424094250738
2010-01-01,191.99,1220.66,15.728376452083298
2010-02-01,193.34,1187.14,16.286200448135855
2010-03-01,185.9,1152.48,16.130431764542553
2010-04-01,159.73,979.1500000000001,16.31312873410611
2010-05-01,145.41,1169.28,12.435857963875204
2010-06-01,147.03,1111.44,13.228784279853162
2010-07-01,174.4,1224.42,14.243478544943727
2010-08-01,320.07,1320.81,24.232857110409523
2010-09-01,211.9,1179.3300000000002,17.967829191150905
2010-10-01,251.35,1057.84,23.76068214474779
2010-11-01,216.03,1030.88,20.955882352941174
2010-12-01,281.95,1148.04,24.559248806661788
2011-01-01,225.76,1279.4,17.6457714553697
2011-02-01,265.14,1229.42,21.566267020220913
2011-03-01,302.01,1190.2999999999997,25.372595144081327
2011-04-01,233.18,995.76,23.41728930666024
2011-05-01,224.9,1170.0600000000002,19.22123651778541
2011-06-01,329.8,1121.72,29.40127661091895
2011-07-01,335.79,1162.75,28.878950763276716
2011-08-01,271.49,996.28,27.250371381539328
2011-09-01,357.35,966.6700000000001,36.96711390650377
2011-10-01,266.28,961.6799999999998,27.68904417269778
2011-11-01,262.4,988.75,26.538558786346396
2011-12-01,281.15,1061.94,26.47513042168107
2012-01-01,388.74,1201.62,32.351325710291114
2012-02-01,260.63,1138.27,22.897027945917927
2012-03-01,293.54,1012.46,28.99275033087727
2012-04-01,220.57,1066.6299999999999,20.679148345724386
2012-05-01,269.86,1127.2400000000002,23.939888577410308
2012-06-01,352.19,1266.01,27.81889558534293
2012-07-01,274.32,1098.5,24.97223486572599
2012-08-01,388.6,1105.69,35.14547477140971
2012-09-01,345.67,1008.98,34.25935102777062
2012-10-01,287.12,1117.05,25.703415245512733
2012-11-01,278.17,1109.77,25.06555412382746
2012-12-01,305.19,1115.06,27.36982763259376
2013-01-01,281.6,1177.95,23.905938282609622
2013-02-01,238.52,1091.53,21.851895962547985
2013-03-01,304.99,1162.32,26.23976185559915
2013-04-01,220.9,729.76,30.27022582766937
2013-05-01,320.69,862.96,37.16162973950125
2013-06-01,225.79,922.5099999999999,24.475615440483033
2013-07-01,363.81,1050.73,34.62449915772844
2013-08-01,451.41,960.94,46.975877786334216
2013-09-01,366.19,837.6700000000001,43.71530554991822
2013-10-01,380.61,946.17,40.22638637876915
2013-11-01,305.93,959.5100000000002,31.883982449375196
2013-12-01,311.54,955.8800000000001,32.59195714943298
2014-01-01,354.47,1181.9299999999998,29.99077779563934
2014-02-01,301.97,1028.9699999999998,29.346822550706054
2014-03-01,259.16,957.06,27.078762042087227
2014-04-01,261.7,851.76,30.7246172630788
2014-05-01,309.52,989.29,31.28708467688949
2014-06-01,418.88,1028.51,40.72687674402777
2014-07-01,520.67,1145.0700000000002,45.47058258447081
2014-08-01,260.32,1027.1999999999998,25.34267912772586
2014-09-01,378.34,928.5899999999999,40.743492822451245
2014-10-01,342.79,902.7,37.97385620915033
2014-11-01,339.63,968.1300000000001,35.081032505965105
2014-12-01,330.34,921.9000000000001,35.83251979607332
2015-01-01,396.5,1020.99,38.83485636490073
2015-02-01,331.24,1000.68,33.101490986129434
2015-03-01,310.35999999999996,905.61,34.270822981194996
2015-04-01,358.87,838.64,42.79190117332824
2015-05-01,428.24,965.21,44.36754695869293
